name,case_num
Atherton,27 
Belmont,83 
Brisbane,17 
Burlingame,110 
Colma,13 
Daly City,817 
East Palo Alto,569 
El Granada,18 
Emerald Hills,14 
Foster City,74 
Half Moon Bay,92 
Hillsborough,33 
Menlo Park,226 
Millbrae,155 
Moss Beach,17 
Pacifica,109 
Portola Valley,23 
Redwood City,1140 
San Bruno,241 
San Carlos,76 
San Mateo,980 
South San Francisco,533 
Woodside,23 
Campbell,197 
Cupertino,79 
Gilroy,615 
Los Altos,73 
Los Altos Hills,20 
Los Gatos,79 
Milpitas,262 
Monte Sereno,15 
Morgan Hill,278 
Mountain View,216 
Palo Alto,164 
San Jose,7115 
Santa Clara,530 
Saratoga,57 
Sunnyvale,494 
Other/Unknown,600 
